cep,estado,cidade,ddd,logradouro
64076418,PI,Teresina,86,Rua Francisco Celso Leitão
52140190,PE,Recife,81,Rua Monsenhor Viana
58083003,PB,João Pessoa,83,Rua Maria das Dores Barbosa Lopes
79902726,MS,Ponta Porã,,Rua Sílvio Verão Pereira
31140070,MG,Belo Horizonte,31,Rua Jussara
670046.0,NE,NE,NE,NE
670046.0,NE,NE,NE,NE
82710150,PR,Curitiba,41,Rua Alberto Otto
21921325,RJ,Rio de Janeiro,21,Rua Zurique
45078180,BA,Vitória da Conquista,77,Rua Um
29101430,ES,Vila Velha,27,Rua Inácio Higino
29101430,ES,Vila Velha,27,Rua Inácio Higino
71720560,DF,Brasília,61,Avenida Central Blocos 1124/1226
87170000,PR,Ourizona,,NE
28400000,RJ,São Fidélis,22,NE
28400000,RJ,São Fidélis,22,NE
88808220,SC,Criciúma,48,Rua Lourenço Possamae Della
38320000,MG,Santa Vitória,34,NE
2374140.0,NE,NE,NE,NE
2374140.0,NE,NE,NE,NE
65063390,MA,São Luís,98,Rua Porto Alegre
6321590.0,NE,NE,NE,NE
4858110.0,NE,NE,NE,NE
60711055,CE,Fortaleza,85,Rua Francisco Glicério
84016700,PR,Ponta Grossa,42,Rua Moabe
91790329,RS,Porto Alegre,51,Avenida João Antônio Silveira
26032090,RJ,Nova Iguaçu,21,Rua Manoel de Alegrio
92310240,RS,Canoas,51,Rua Frederico Guilherme Ludwig
30535490,MG,Belo Horizonte,31,Rua Padre Pedro Evangelista
73330098,DF,Brasília,61,Rua Belo Horizonte
5583000.0,NE,NE,NE,NE
91550210,RS,Porto Alegre,51,Estrada Pedreira I
77600000,TO,Paraíso do Tocantins,,NE
88049510,SC,Florianópolis,48,Rua Alexandre Virgilino Lopes
5884100.0,NE,NE,NE,NE
5884100.0,NE,NE,NE,NE
95290000,RS,Bom Jesus,,NE
95290000,RS,Bom Jesus,,NE
95290000,RS,Bom Jesus,,NE
78540000,MT,Cláudia,,NE
11725040,SP,Praia Grande,13,Rua Ubaldo Pinto
72260667,DF,Brasília,61,Quadra QNO 16 Conjunto 67
83407160,PR,Colombo,41,Rua Rui Puppi
9942260.0,NE,NE,NE,NE
9942260.0,NE,NE,NE,NE
77006430,TO,Palmas,63,Quadra ARNE 51 Alameda 8
55170000,PE,Brejo da Madre de Deus,81,NE
17900000,SP,Dracena,18,NE
41600200,BA,Salvador,71,Rua Orlando Imbassahy
11666000,SP,Caraguatatuba,12,Avenida José Herculano
55655000,PE,Cumaru,,NE
99500000,RS,Carazinho,54,NE
65035270,MA,São Luís,98,Avenida Governador Luiz Rocha
92480000,RS,Nova Santa Rita,51,NE
92480000,RS,Nova Santa Rita,51,NE
47850009.0,NE,NE,NE,NE
75035270.0,NE,NE,NE,NE
26900000,RJ,Miguel Pereira,24,NE
75035270.0,NE,NE,NE,NE
26900000,RJ,Miguel Pereira,24,NE
15053390,SP,São José do Rio Preto,17,Rua Rúbens Scrignolli
62875000,CE,Chorozinho,85,NE
13304276,SP,Itu,11,Rua Maria Inês Pasti Pedroso
95060145,RS,Caxias do Sul,54,Avenida Rio Branco
95060145,RS,Caxias do Sul,54,Avenida Rio Branco
65058759,MA,São Luís,98,Rua Rio Pindaré
44755000,BA,Ponto Novo,,NE
30310520,MG,Belo Horizonte,31,Rua Dom Vital
66623590,PA,Belém,91,Rodovia Augusto Montenegro
6654160.0,NE,NE,NE,NE
8613300.0,NE,NE,NE,NE
17506180,SP,Marília,14,Avenida Euclides da Cunha
17506180,SP,Marília,14,Avenida Euclides da Cunha
41360300.0,NE,NE,NE,NE
29124314,ES,Vila Velha,27,Rua Boa Vista
51030660,PE,Recife,81,Rua Almirante Batista Leão
29124314,ES,Vila Velha,27,Rua Boa Vista
49600000,SE,Nossa Senhora das Dores,79,NE
45075655,BA,Vitória da Conquista,77,Rua Nova Cidade
27330280,RJ,Barra Mansa,24,Rua José Maria da Cruz
11725040,SP,Praia Grande,13,Rua Ubaldo Pinto
71725702,DF,Brasília,61,Quadra QR 7 Conjunto B
79073235,MS,Campo Grande,67,Rua Engenheiro Paulo Frontin
26030380,RJ,Nova Iguaçu,21,Avenida Henrique Duque Estrada Meyer
88054605,SC,Florianópolis,48,Rodovia Virgílio Várzea
59507000,RN,Alto do Rodrigues,84,NE
57035000,AL,Maceió,82,Avenida Engenheiro Mário de Gusmão
50730500,PE,Recife,81,Rua Jáder de Pontes Jardim
57035000,AL,Maceió,82,Avenida Engenheiro Mário de Gusmão
50730500,PE,Recife,81,Rua Jáder de Pontes Jardim
79033560,MS,Campo Grande,67,Rua Marquês de Herval
78033560.0,NE,NE,NE,NE
44004560,BA,Feira de Santana,75,Rua Netuno
79033560,MS,Campo Grande,67,Rua Marquês de Herval
72231418,DF,Brasília,61,Quadra QNP 14 Conjunto R
76940000,RO,Rolim de Moura,,NE
69042401,AM,Manaus,92,Rua João Paulo I
69042401,AM,Manaus,92,Rua João Paulo I
69042401,AM,Manaus,92,Rua João Paulo I
69042401,AM,Manaus,92,Rua João Paulo I
69042401,AM,Manaus,92,Rua João Paulo I
69042401,AM,Manaus,92,Rua João Paulo I
78890000,MT,Sorriso,66,NE
79063643,MS,Campo Grande,67,Rua João Roma
4854160.0,NE,NE,NE,NE
57940000,AL,São Miguel dos Milagres,,NE
57940000,AL,São Miguel dos Milagres,,NE
68515000,PA,Parauapebas,94,NE
78115575,MT,Várzea Grande,65,Rua Coronel Manoel Gomes
48925000,BA,Sobradinho,74,NE
14092560,SP,Ribeirão Preto,16,Rua Luiz Carlucci Sobrinho
14092560,SP,Ribeirão Preto,16,Rua Luiz Carlucci Sobrinho
17480000,SP,Cabrália Paulista,14,NE
12570000,SP,Aparecida,12,NE
25943548,RJ,Guapimirim,21,Rodovia Rio-Friburgo
30720580,MG,Belo Horizonte,31,Rua Minerva
